id,бренд,название,скидка,цена,изображение
171755139,Infinix,Смартфон NOTE 30i 8+256GB,1683500.0,1850000.0,https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/1.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/2.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/3.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/4.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/5.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/6.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/7.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/8.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/9.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/10.webp;https://basket-12.wb.ru/vol1717/part171755/171755139/images/big/11.webp;
177024888,Infinix,"Смартфон Note 30i 8 256 ГБ, черный",1546100.0,2123800.0,https://basket-12.wb.ru/vol1770/part177024/177024888/images/big/1.webp;https://basket-12.wb.ru/vol1770/part177024/177024888/images/big/2.webp;https://basket-12.wb.ru/vol1770/part177024/177024888/images/big/3.webp;https://basket-12.wb.ru/vol1770/part177024/177024888/images/big/4.webp;https://basket-12.wb.ru/vol1770/part177024/177024888/images/big/5.webp;https://basket-12.wb.ru/vol1770/part177024/177024888/images/big/6.webp;
178708491,Infinix,Смартфон NOTE 30i 8+256GB,1346700.0,1999900.0,https://basket-12.wb.ru/vol1787/part178708/178708491/images/big/1.webp;https://basket-12.wb.ru/vol1787/part178708/178708491/images/big/2.webp;https://basket-12.wb.ru/vol1787/part178708/178708491/images/big/3.webp;https://basket-12.wb.ru/vol1787/part178708/178708491/images/big/4.webp;
170430454,Infinix,NOTE 30i 8+256GB,1360700.0,2199000.0,https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/1.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/2.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/3.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/4.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/5.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/6.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/7.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/8.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/9.webp;https://basket-12.wb.ru/vol1704/part170430/170430454/images/big/10.webp;
171752263,Infinix,Смартфон NOTE 30i 8+256GB,1683500.0,1850000.0,https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/1.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/2.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/3.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/4.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/5.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/6.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/7.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/8.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/9.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/10.webp;https://basket-12.wb.ru/vol1717/part171752/171752263/images/big/11.webp;
176206245,Infinix,NOTE 30i 8 256Gb Variable Gold,1455000.0,1599000.0,https://basket-12.wb.ru/vol1762/part176206/176206245/images/big/1.webp;https://basket-12.wb.ru/vol1762/part176206/176206245/images/big/2.webp;https://basket-12.wb.ru/vol1762/part176206/176206245/images/big/3.webp;https://basket-12.wb.ru/vol1762/part176206/176206245/images/big/4.webp;https://basket-12.wb.ru/vol1762/part176206/176206245/images/big/5.webp;https://basket-12.wb.ru/vol1762/part176206/176206245/images/big/6.webp;https://basket-12.wb.ru/vol1762/part176206/176206245/images/big/7.webp;
170430456,Infinix,NOTE 30i 8+256GB,1360700.0,2199000.0,https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/1.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/2.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/3.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/4.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/5.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/6.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/7.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/8.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/9.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/10.webp;https://basket-12.wb.ru/vol1704/part170430/170430456/images/big/11.webp;
171746628,Infinix,Смартфон NOTE 30i 8-256GB Helio G85 8 ядер,1683500.0,1850000.0,https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/1.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/2.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/3.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/4.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/5.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/6.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/7.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/8.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/9.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/10.webp;https://basket-12.wb.ru/vol1717/part171746/171746628/images/big/11.webp;
176206243,Infinix,NOTE 30i 8 256Gb Impression Green,1455000.0,1599000.0,https://basket-12.wb.ru/vol1762/part176206/176206243/images/big/1.webp;https://basket-12.wb.ru/vol1762/part176206/176206243/images/big/2.webp;https://basket-12.wb.ru/vol1762/part176206/176206243/images/big/3.webp;https://basket-12.wb.ru/vol1762/part176206/176206243/images/big/4.webp;
177024891,Infinix,"Смартфон Note 30i 8 256 ГБ, золото",1527900.0,2098800.0,https://basket-12.wb.ru/vol1770/part177024/177024891/images/big/1.webp;https://basket-12.wb.ru/vol1770/part177024/177024891/images/big/2.webp;https://basket-12.wb.ru/vol1770/part177024/177024891/images/big/3.webp;https://basket-12.wb.ru/vol1770/part177024/177024891/images/big/4.webp;https://basket-12.wb.ru/vol1770/part177024/177024891/images/big/5.webp;https://basket-12.wb.ru/vol1770/part177024/177024891/images/big/6.webp;
168697164,Infinix,Смартфон NOTE 30i 8 128 GB РОСТЕСТ,1351500.0,1880000.0,https://basket-12.wb.ru/vol1686/part168697/168697164/images/big/1.webp;https://basket-12.wb.ru/vol1686/part168697/168697164/images/big/2.webp;https://basket-12.wb.ru/vol1686/part168697/168697164/images/big/3.webp;https://basket-12.wb.ru/vol1686/part168697/168697164/images/big/4.webp;
168114719,Infinix,Смартфон NOTE 30i 8 128GB,1546000.0,1699000.0,https://basket-12.wb.ru/vol1681/part168114/168114719/images/big/1.webp;https://basket-12.wb.ru/vol1681/part168114/168114719/images/big/2.webp;https://basket-12.wb.ru/vol1681/part168114/168114719/images/big/3.webp;
168697162,Infinix,Смартфон NOTE 30i 8 128 GB РОСТЕСТ,1351500.0,1880000.0,https://basket-12.wb.ru/vol1686/part168697/168697162/images/big/1.webp;https://basket-12.wb.ru/vol1686/part168697/168697162/images/big/2.webp;https://basket-12.wb.ru/vol1686/part168697/168697162/images/big/3.webp;https://basket-12.wb.ru/vol1686/part168697/168697162/images/big/4.webp;
160652377,Infinix,Смартфон NOTE 30i 8+256GB,1799000.0,1799000.0,https://basket-11.wb.ru/vol1606/part160652/160652377/images/big/1.webp;https://basket-11.wb.ru/vol1606/part160652/160652377/images/big/2.webp;https://basket-11.wb.ru/vol1606/part160652/160652377/images/big/3.webp;
160652378,Infinix,Смартфон NOTE 30i 8+256GB,1799000.0,1799000.0,https://basket-11.wb.ru/vol1606/part160652/160652378/images/big/1.webp;https://basket-11.wb.ru/vol1606/part160652/160652378/images/big/2.webp;https://basket-11.wb.ru/vol1606/part160652/160652378/images/big/3.webp;
